enhancer	genes
humGainReg2865	ENSG00000223508,ENSG00000272812,ENSG00000272240,ENSG00000273402,ENSG00000172748,ENSG00000147364,ENSG00000272293,ENSG00000147364,ENSG00000254269
humGainReg2878	ENSG00000253981,ENSG00000182319
humGainReg2879	ENSG00000253893,ENSG00000173295,ENSG00000173273,ENSG00000173273
humGainReg2880	ENSG00000253893,ENSG00000173295
humGainReg2898	ENSG00000253430,ENSG00000234770
humGainReg2899	ENSG00000253875,ENSG00000147419
humGainReg29	ENSG00000235263,ENSG00000188807
humGainReg2900	ENSG00000253875,ENSG00000147419
humGainReg2901	ENSG00000120885,ENSG00000222862
humGainReg2903	ENSG00000104290
humGainReg2922	ENSG00000070501
humGainReg2923	ENSG00000029534
humGainReg2931	ENSG00000224594
humGainReg2933	ENSG00000147509
humGainReg2936	ENSG00000104331
humGainReg2959	ENSG00000253679
humGainReg2975	ENSG00000238901
humGainReg2988	ENSG00000184156
humGainReg2989	ENSG00000184156
humGainReg2991	ENSG00000147724
humGainReg2994	ENSG00000169398,ENSG00000105339,ENSG00000022567
humGainReg2995	ENSG00000253741,ENSG00000253806,ENSG00000130193,ENSG00000253421,ENSG00000160882
humGainReg2998	ENSG00000272172,ENSG00000185730,ENSG00000263660,ENSG00000184428,ENSG00000181135,ENSG00000254574,ENSG00000254548,ENSG00000181135,ENSG00000255181,ENSG00000181085,ENSG00000265660,ENSG00000203499,ENSG00000181085,ENSG00000180921,ENSG00000203499,ENSG00000254973,ENSG00000214733,ENSG00000180900,ENSG00000255343,ENSG00000179950,ENSG00000185189,ENSG00000178209,ENSG00000221802,ENSG00000272115,ENSG00000071894,ENSG00000147804,ENSG00000232600,ENSG00000160949,ENSG00000160957,ENSG00000160959,ENSG00000254402,ENSG00000213563,ENSG00000147799,ENSG00000255681
humGainReg2999	ENSG00000014164,ENSG00000254859,ENSG00000254144,ENSG00000014164,ENSG00000104518,ENSG00000204839,ENSG00000255050,ENSG00000254741,ENSG00000204839,ENSG00000147813,ENSG00000104529,ENSG00000252075,ENSG00000181135,ENSG00000254574,ENSG00000254548,ENSG00000181135,ENSG00000255181,ENSG00000181085,ENSG00000265660,ENSG00000203499,ENSG00000181085,ENSG00000180921,ENSG00000203499,ENSG00000254973,ENSG00000214733,ENSG00000180900,ENSG00000255343,ENSG00000179950,ENSG00000185189,ENSG00000179091,ENSG00000179526,ENSG00000179632,ENSG00000179526,ENSG00000179698,ENSG00000232600,ENSG00000160949
humGainReg3004	ENSG00000256968
humGainReg3042	ENSG00000186354,ENSG00000213694
humGainReg3045	ENSG00000225511,ENSG00000236717
humGainReg306	ENSG00000107929,ENSG00000107937,ENSG00000148377,ENSG00000238924
humGainReg3062	ENSG00000213761,ENSG00000237857,ENSG00000185920,ENSG00000271659,ENSG00000185920
humGainReg3065	ENSG00000269907,ENSG00000227257
humGainReg3073	ENSG00000237062,ENSG00000234229
humGainReg3110	ENSG00000185585
humGainReg3118	ENSG00000136828,ENSG00000148356,ENSG00000136830
humGainReg3125	ENSG00000216181,ENSG00000148335,ENSG00000179058,ENSG00000234789,ENSG00000148331,ENSG00000167157,ENSG00000236024,ENSG00000255824,ENSG00000233909,ENSG00000136816,ENSG00000136827,ENSG00000136819,ENSG00000136878,ENSG00000148358
humGainReg3131	ENSG00000130707
humGainReg3134	ENSG00000107290,ENSG00000107290,ENSG00000107290
humGainReg3135	ENSG00000231018,ENSG00000212395,ENSG00000236687
humGainReg3140	ENSG00000224992
humGainReg3142	ENSG00000252521,ENSG00000263816,ENSG00000233800,ENSG00000165699,ENSG00000165702,ENSG00000233800,ENSG00000160323,ENSG00000160325
humGainReg3149	ENSG00000273473,ENSG00000263897,ENSG00000186350
humGainReg3155	ENSG00000148386,ENSG00000148400,ENSG00000263403,ENSG00000148400,ENSG00000227512,ENSG00000265181,ENSG00000237886,ENSG00000148400,ENSG00000252440,ENSG00000228401,ENSG00000172889,ENSG00000199161,ENSG00000172889
humGainReg3177	ENSG00000147118,ENSG00000171489
humGainReg3189	ENSG00000159123,ENSG00000204119
humGainReg3196	ENSG00000233320
humGainReg3214	ENSG00000241248,ENSG00000230707
humGainReg3217	ENSG00000013619
humGainReg3220	ENSG00000235703
humGainReg3225	ENSG00000147394,ENSG00000234200,ENSG00000224201,ENSG00000231600,ENSG00000225110,ENSG00000071553,ENSG00000203879
humGainReg331	ENSG00000234175,ENSG00000228330
humGainReg359	ENSG00000165322
humGainReg373	ENSG00000165874,ENSG00000272430,ENSG00000229927,ENSG00000215044
humGainReg374	ENSG00000165874,ENSG00000272430,ENSG00000229927
