Enhancer	hic.CP	hic.GZ	hic.CP.promoter	hic.GZ.promoter
HACNS_953	ENSG00000225118,ENSG00000138190,ENSG00000095596	ENSG00000225118,ENSG00000138190,ENSG00000095596	ENSG00000225118,ENSG00000095596	ENSG00000225118,ENSG00000095596
HARv2_511	ENSG00000120049,ENSG00000120029	ENSG00000120029	ENSG00000120049,ENSG00000120029	ENSG00000120029
HARv2_532	ENSG00000108001	ENSG00000108001	ENSG00000108001	ENSG00000108001
HACNS_769	ENSG00000167323	ENSG00000254757,ENSG00000255367,ENSG00000206976,ENSG00000167323,ENSG00000167325	ENSG00000167323	ENSG00000206976,ENSG00000167323,ENSG00000167325
HARv2_95	NA	NA	NA	NA
HARv2_441	NA	NA	NA	NA
HARv2_109	ENSG00000179241	ENSG00000149089,ENSG00000110435	ENSG00000179241	ENSG00000149089
HACNS_503,HARv2_506	ENSG00000179241,ENSG00000175104	ENSG00000179241,ENSG00000110442,ENSG00000175104	NA	ENSG00000179241
HARv2_210	ENSG00000149179,ENSG00000255520,ENSG00000149182,ENSG00000270060	ENSG00000149179,ENSG00000255520,ENSG00000256897,ENSG00000134574	ENSG00000149179,ENSG00000255520	ENSG00000149179,ENSG00000255520,ENSG00000256897
HACNS_758	ENSG00000134569,ENSG00000149179,ENSG00000271350	ENSG00000149179	ENSG00000271350,ENSG00000149179	ENSG00000149179
HACNS_790	ENSG00000137710	NA	NA	NA
HACNS_491	ENSG00000137714	ENSG00000150750,ENSG00000196167,ENSG00000214290	NA	ENSG00000196167,ENSG00000214290
HARv2_230	ENSG00000109906	ENSG00000109906,ENSG00000221112	ENSG00000109906	ENSG00000109906,ENSG00000221112
HARv2_298	NA	NA	NA	NA
HACNS_467	ENSG00000255216,ENSG00000137699	ENSG00000172350,ENSG00000245248,ENSG00000110400,ENSG00000254854,ENSG00000137699,ENSG00000184232	ENSG00000255216,ENSG00000137699	ENSG00000172350,ENSG00000254854,ENSG00000110400,ENSG00000137699
HACNS_858	ENSG00000110400,ENSG00000254854	ENSG00000110400,ENSG00000254854	ENSG00000254854,ENSG00000110400	ENSG00000254854,ENSG00000110400
HACNS_335,HARv2_384	NA	ENSG00000120457	NA	ENSG00000120457
HARv2_504	NA	ENSG00000224795,ENSG00000182667	NA	ENSG00000224795,ENSG00000182667
HACNS_105	ENSG00000011105,ENSG00000250770,ENSG00000111224	ENSG00000011105,ENSG00000250770,ENSG00000130038,ENSG00000111224	ENSG00000011105,ENSG00000250770	ENSG00000011105,ENSG00000250770,ENSG00000130038
HARv2_489	NA	NA	NA	NA
HACNS_610	NA	NA	NA	NA
HACNS_629	NA	NA	NA	NA
HACNS_694	NA	NA	NA	NA
HARv2_159	NA	NA	NA	NA
HACNS_129	NA	NA	NA	NA
HARv2_482	NA	NA	NA	NA
HARv2_491	NA	NA	NA	NA
HARv2_490	ENSG00000196510	ENSG00000221246,ENSG00000204852,ENSG00000122986	ENSG00000196510	ENSG00000221246,ENSG00000204852
HARv2_354	ENSG00000196510,ENSG00000258210	ENSG00000151164,ENSG00000196850	ENSG00000196510	NA
HARv2_256	NA	NA	NA	NA
humGainReg784,HACNS_674	ENSG00000089116,ENSG00000257935	ENSG00000139410,ENSG00000135094	ENSG00000257935,ENSG00000089116	ENSG00000139410,ENSG00000135094
HACNS_318	NA	NA	NA	NA
HACNS_336	ENSG00000270522,ENSG00000120658	ENSG00000120658,ENSG00000270522	ENSG00000270522,ENSG00000120658	ENSG00000270522,ENSG00000120658
HACNS_595	ENSG00000102804,ENSG00000225727	ENSG00000233725,ENSG00000151778,ENSG00000237361,ENSG00000102804,ENSG00000225727	ENSG00000225727,ENSG00000102804	ENSG00000233725,ENSG00000151778,ENSG00000237361,ENSG00000225727,ENSG00000102804
HACNS_917	NA	NA	NA	NA
HACNS_437	NA	NA	NA	NA
HACNS_83	NA	NA	NA	NA
humGainReg860,HACNS_38	NA	NA	NA	NA
HARv2_320	ENSG00000204398,ENSG00000215881,ENSG00000260343,ENSG00000223626,ENSG00000153498	ENSG00000204398,ENSG00000215881,ENSG00000264989,ENSG00000182968,ENSG00000153498,ENSG00000126216	ENSG00000260343,ENSG00000223626	ENSG00000204398,ENSG00000264989,ENSG00000182968,ENSG00000126216
HACNS_396	ENSG00000204398,ENSG00000215881,ENSG00000226903	ENSG00000204398,ENSG00000215881,ENSG00000200072,ENSG00000182968	ENSG00000226903	ENSG00000204398,ENSG00000215881,ENSG00000200072,ENSG00000182968
HARv2_37	NA	NA	NA	NA
HARv2_223	NA	NA	NA	NA
HARv2_157	NA	NA	NA	NA
HARv2_122	ENSG00000151322	ENSG00000151322,ENSG00000129521	NA	ENSG00000151322
HACNS_780	NA	NA	NA	NA
HARv2_351	NA	NA	NA	NA
HACNS_776	NA	NA	NA	NA
HARv2_260	NA	NA	NA	NA
HARv2_301	NA	NA	NA	NA
HACNS_379	ENSG00000258670,ENSG00000020426,ENSG00000139974,ENSG00000126814	ENSG00000027075	ENSG00000126814,ENSG00000139974	NA
HACNS_605	ENSG00000171723	ENSG00000072415	NA	NA
HACNS_269	NA	ENSG00000187105,ENSG00000251393	NA	ENSG00000187105
HARv2_262	NA	NA	NA	NA
HARv2_380	NA	NA	NA	NA
HACNS_450	NA	NA	NA	NA
HACNS_550	ENSG00000258913,ENSG00000228032,ENSG00000258986	ENSG00000258913,ENSG00000228032,ENSG00000258986,ENSG00000184601,ENSG00000259037	ENSG00000228032	ENSG00000258913,ENSG00000228032,ENSG00000184601,ENSG00000259037,ENSG00000258986
HACNS_173	NA	NA	NA	NA
HACNS_837	NA	NA	NA	NA
HACNS_961	NA	NA	NA	NA
